w1,w2,f,pmi
犹太人,定居点,15,12.495381242098787
源头,活水,6,12.46295976440641
艺术性,观赏性,5,12.451464125568581
老一辈,革命家,14,12.443850941458706
大藏,大臣,7,12.443850941458706
世界杯,短池,5,12.428744049068497
花园,洋房,6,12.42499191420739
人力,物力,9,12.36985036001493
股东,账户卡,13,12.369850360014928
无产阶级,革命家,20,12.299461032123531
婴儿,奶粉,5,12.299461032123531
爱国主义,集体主义,5,12.299461032123531
自觉性,坚定性,6,12.293747380929137
马列主义,毛泽东思想,8,12.290899018620106
警车,警报器,6,12.282387518764589
旧币,新币,5,12.258819047626185
定息,债券,5,12.232346836264993
马克思列宁主义,毛泽东思想,7,12.213731158097646
涨幅,涨势,5,12.180816535624912
雕像,头部,6,12.173453147211426
物力,财力,6,12.168216498845277
低压,电网,6,12.116869618845058
雪地,足球,6,12.106815954181135
美人鱼,雕像,5,12.047922265127566
生物,核武器,5,12.036426626289737
世界杯,足球赛,8,12.019353112930796
电池,电池,5,12.013706549789653
地面,水厂,6,12.009954414928545
主,户头,7,12.007280280630221
原子,激光,5,11.991338736761199
总参谋长,中将,9,11.969919753126293
男篮,联赛,16,11.936890952738823
烟花,爆竹,7,11.929277768628948
棉衣,棉被,9,11.878709881650293
账,小金库,8,11.862055719816233
肉类,水产品,5,11.85888844073755
配偶,子女,12,11.85047620092135
国务,秘书,10,11.846288403957915
蛋,奶,10,11.833797459774718
牌,奶粉,7,11.81965327745445
发展性,资料,5,11.81403420495329
民主党派,无党派,7,11.75429953946035
人生观,价值观,5,11.746920009094753
便士,邮票,13,11.719792831071887
奶,水产品,6,11.706885347292499
镇,电管站,5,11.691778454902291
镇区,总人口,5,11.691778454902291
证据,复印件,7,11.685352185742858
凝聚力,战斗力,5,11.682789671675037
爷爷,托儿所,5,11.65615454517157
幼女,一家,5,11.647384335543837
关税,增值税,5,11.621389127010893
印尼盾,比价,6,11.576301237482355
民主党派,爱国人士,5,11.558379329485092
责任感,使命感,5,11.558379329485092
恐龙,化石,5,11.521853453459979
重要性,紧迫性,6,11.495381242098787
收支,盈余,6,11.495381242098787
肉,蛋,17,11.49499554632296
租金,租金,6,11.492106110065926
科长,处长,6,11.431250904679072
电缆,电缆,9,11.351928452017667
老一辈,无产阶级,7,11.344315267907792
海关,关长,6,11.334226450284207
歌剧,舞剧,6,11.331297119245535
月球,勘探者,13,11.316739023555366
煤矿,新村,10,11.30462273723931
身份证,股东,10,11.299461032123531
骨干,船厂,7,11.284814256159128
军政,军民,10,11.225803990398221
县委,县政府,13,11.193773131591021
指数,日Ｋ线图,6,11.183983814703595
蛋,水产品,6,11.17083244705229
牛,卵细胞,5,11.140262437274277
塑料,大棚,5,11.121922846571342
肉,奶,9,11.113510606755144
浪,浪,7,11.098253940677711
照明,电价,20,11.088894046183873
嫌疑人,被告人,13,11.08729650346171
论坛,年会,9,11.067287589994498
电缆,保护区,6,11.06242183482268
旧币,卢布,7,11.056189881111168
针灸,疗法,5,11.036426626289737
棋手,等级分,5,11.027864612786313
国务委员,上将,9,11.019353112930796
党风,政风,8,11.019353112930796
经济效益,纵深行,6,11.005277927719073
油,价,9,11.00372246121703
排球,联赛,15,10.985800553219768
墙,墙,5,10.966582637675627
年度,预算案,5,10.958424114288464
数字,视盘,6,10.950311468501145
共产主义,革命家,5,10.884423532844687
事务,次官,5,10.884423532844687
公房,租金,5,10.866501624847425
男子,跳台,8,10.862055719816233
列车,运行图,7,10.85888844073755
人力,财力,6,10.846288403957915
皮,皮,5,10.84378154834734
街道,办事处,12,10.794941523957695
金色,大厅,11,10.794758103317834
共产主义,无产阶级,5,10.784887859293772
博士,学位,5,10.765779036346068
粪,姑娘,5,10.746920009094753
渔业,协定,8,10.743411223317613
下级,上级,10,10.737582144515416
我党,我军,17,10.719220941644778
工伤,事故,9,10.703093768130126
艾滋病,病毒,5,10.696293936024784
省政府,省军区,5,10.691778454902291
人民币,港币,6,10.669410641873837
国防部长,上将,9,10.647384335543837
杀伤性,武器,5,10.647384335543837
油气,储量,7,10.641152381832322
生物,多样性,6,10.636496019401102
存款,余额,7,10.6134370036205
肉,水产品,6,10.602548687477764
乡,电管站,5,10.593746371941764
冰暴,灾害,5,10.570763053940926
复印件,照片,5,10.570763053940926
马克思主义,哲学史,10,10.565590244380191
水稻,玉米,5,10.558379329485092
牌,婴儿,6,10.526871528226604
线路,保护区,11,10.521853453459979
号,空间站,5,10.521853453459979
党风,廉政,73,10.508737953669721
堆,堆,5,10.503931545462716
乡镇企业,示范区,6,10.503601748903757
医疗,器械,20,10.49014459373264
硬件,软件,5,10.480376817483819
新币,卢布,7,10.47122738039001
语言,文字,40,10.468742117000415
出租车,司机,6,10.467776780704186
地面,水源,5,10.466812089902017
当局,大义,10,10.442902112065157
主权,领土,11,10.436964555873466
智囊,人物,5,10.434390612209638
自治区,直辖市,42,10.431474943042886
法规,规章,6,10.42499191420739
粮,油,7,10.411670535709556
装备,仪器,6,10.406376236040042
志愿者,服务队,11,10.376423013938416
光明,日报,7,10.372428904116704
子弟兵,栏目,7,10.372428904116704
故乡,竹桥,8,10.356388100208367
奶,水果,8,10.347482546986473
