x,y,f_xy,p_d1
农,民,636,0.00039021948005094943
科,学,635,0.0003896059274093599
的,发,633,0.00038837882212618076
０,万,632,0.00038776526948459126
年,来,631,0.0003871517168430017
水,平,631,0.0003871517168430017
这,个,629,0.0003859246115598226
图,片,627,0.0003846975062766435
单,位,625,0.0003834704009934644
情,况,615,0.000377334874577569
的,人,614,0.00037672132193597945
人,们,613,0.00037610776929438995
一,年,611,0.00037488066401121083
建,立,611,0.00037488066401121083
们,的,609,0.00037365355872803177
基,础,606,0.0003718129008032631
思,想,601,0.0003687451375953154
提,出,601,0.0003687451375953154
作,为,599,0.0003675180323121363
理,论,598,0.00036690447967054675
进,一,592,0.0003632231638210095
国,务,591,0.00036260961117941996
万,元,590,0.0003619960585378304
０,年,588,0.00036076895325465135
出,了,587,0.0003601554006130618
取,得,584,0.0003583147426882932
的,重,573,0.0003515656636308082
今,年,572,0.00035095211098921865
这,是,570,0.0003497250057060396
制,度,570,0.0003497250057060396
继,续,567,0.0003478843477812709
香,港,561,0.0003442030319317337
必,须,560,0.00034358947929014413
稳,定,559,0.0003429759266485546
困,难,554,0.0003399081634406069
参,加,553,0.00033929461079901734
开,发,553,0.00033929461079901734
影,响,552,0.0003386810581574278
开,始,552,0.0003386810581574278
基,本,549,0.00033684040023265917
现,代,544,0.00033377263702471144
体,育,544,0.00033377263702471144
坚,持,541,0.0003319319790999428
十,五,538,0.0003300913211751742
１,５,536,0.0003288642158919951
作,用,535,0.00032825066325040553
一,种,534,0.00032763711060881603
有,的,533,0.0003270235579672265
的,大,532,0.0003264100053256369
努,力,531,0.00032579645268404736
资,金,531,0.00032579645268404736
价,格,530,0.00032518290004245786
需,要,529,0.0003245693474008683
特,别,528,0.00032395579475927874
国,有,527,0.0003233422421176892
开,展,525,0.00032211513683451013
年,１,523,0.000320888031551331
来,的,523,0.000320888031551331
到,了,523,0.000320888031551331
贫,困,522,0.0003202744789097415
上,海,522,0.0003202744789097415
结,构,522,0.0003202744789097415
有,一,522,0.0003202744789097415
计,划,522,0.0003202744789097415
中,的,521,0.00031966092626815195
上,的,520,0.0003190473736265624
书,记,519,0.0003184338209849729
提,供,515,0.0003159796104186147
许,多,514,0.00031536605777702516
机,关,514,0.00031536605777702516
的,是,513,0.0003147525051354356
项,目,512,0.00031413895249384605
部,分,509,0.00031229829456907743
希,望,508,0.0003116847419274879
日,本,508,0.0003116847419274879
京,１,508,0.0003116847419274879
党,的,508,0.0003116847419274879
世,纪,507,0.0003110711892858984
指,出,505,0.00030984408400271926
事,业,503,0.0003086169787195402
４,０,500,0.00030677632079477153
展,的,499,0.000306162768153182
在,这,499,0.000306162768153182
的,经,499,0.000306162768153182
两,国,497,0.0003049356628700029
和,平,494,0.0003030950049452343
总,理,494,0.0003030950049452343
一,次,492,0.0003018678996620552
不,能,491,0.0003012543470204657
的,新,490,0.0003006407943788761
以,来,489,0.00030002724173728657
务,院,489,0.00030002724173728657
这,种,489,0.00030002724173728657
决,定,487,0.0002988001364541075
电,视,486,0.00029818658381251795
这,样,486,0.00029818658381251795
由,于,486,0.00029818658381251795
作,的,485,0.0002975730311709284
共,同,484,0.00029695947852933884
统,一,477,0.00029266461003821205
总,统,476,0.0002920510573966225
不,断,474,0.00029082395211344343
第,二,473,0.00029021039947185387
实,际,470,0.00028836974154708526
现,在,467,0.00028652908362231664
地,方,467,0.00028652908362231664
家,的,466,0.0002859155309807271
出,的,466,0.0002859155309807271
时,间,466,0.0002859155309807271
９,６,464,0.000284688425697548
报,讯,464,0.000284688425697548
已,经,460,0.00028223421513118985
支,持,460,0.00028223421513118985
增,加,459,0.0002816206624896003
部,长,457,0.0002803935572064212
促,进,456,0.0002797800045648317
全,面,456,0.0002797800045648317
以,及,455,0.0002791664519232421
行,的,454,0.00027855289928165256
城,市,453,0.000277939346640063
开,放,452,0.0002773257939984735
泽,民,451,0.00027671224135688394
春,节,450,0.0002760986887152944
江,泽,449,0.00027548513607370483
８,年,449,0.00027548513607370483
形,成,449,0.00027548513607370483
实,施,447,0.00027425803079052577
好,的,446,0.0002736444781489362
自,治,446,0.0002736444781489362
中,心,446,0.0002736444781489362
其,中,446,0.0002736444781489362
国,内,446,0.0002736444781489362
条,件,445,0.00027303092550734666
规,定,445,0.00027303092550734666
发,生,443,0.0002718038202241676
出,现,442,0.00027119026758257804
学,习,441,0.0002705767149409885
工,业,441,0.0002705767149409885
环,境,437,0.0002681225043746303
调,整,437,0.0002681225043746303
成,了,433,0.00026566829380827214
实,行,432,0.00026505474116668263
采,取,430,0.0002638276358835035
区,的,429,0.00026321408324191396
己,的,429,0.00026321408324191396
收,入,429,0.00026321408324191396
措,施,429,0.00026321408324191396
起,来,427,0.0002619869779587349
的,基,427,0.0002619869779587349
质,量,427,0.0002619869779587349
传,统,426,0.00026137342531714535
新,闻,426,0.00026137342531714535
６,年,423,0.00025953276739237673
不,是,422,0.00025891921475078717
６,０,422,0.00025891921475078717
拉,克,422,0.00025891921475078717
结,合,420,0.0002576921094676081
安,全,419,0.00025707855682601856
员,会,419,0.00025707855682601856
亿,元,418,0.000256465004184429
为,了,417,0.0002558514515428395
小,平,416,0.00025523789890124994
的,中,415,0.0002546243462596604
据,新,415,0.0002546243462596604
信,息,412,0.00025278368833489177
８,０,412,0.00025278368833489177
什,么,411,0.0002521701356933022
１,日,410,0.00025155658305171265
扶,贫,410,0.00025155658305171265
的,主,408,0.0002503294777685336
任,务,407,0.00024971592512694404
根,据,407,0.00024971592512694404
具,有,406,0.0002491023724853545
２,１,403,0.00024726171456058586
以,上,403,0.00024726171456058586
五,大,402,0.0002466481619189963
重,点,401,0.0002460346092774068
邓,小,398,0.00024419395135263813
强,调,396,0.00024296684606945907
０,％,394,0.00024173974078627999
学,生,394,0.00024173974078627999
１,４,392,0.0002405126355031009
广,大,391,0.00023989908286151134
机,构,390,0.0002392855302199218
伊,拉,390,0.0002392855302199218
负,责,389,0.00023867197757833225
可,能,387,0.00023744487229515317
出,口,387,0.00023744487229515317
其,他,386,0.00023683131965356364
和,国,386,0.00023683131965356364
是,在,386,0.00023683131965356364
１,３,385,0.00023621776701197408
规,模,383,0.000234990661728795
５,年,383,0.000234990661728795
定,的,382,0.00023437710908720546
进,入,382,0.00023437710908720546
先,进,381,0.0002337635564456159
作,出,380,0.00023315000380402638
住,房,380,0.00023315000380402638
解,放,379,0.00023253645116243685
出,版,379,0.00023253645116243685
战,略,378,0.0002319228985208473
不,仅,378,0.0002319228985208473
国,民,377,0.00023130934587925776
得,到,377,0.00023130934587925776
个,人,377,0.00023130934587925776
在,一,376,0.0002306957932376682
不,同,376,0.0002306957932376682
的,问,375,0.00023008224059607867
要,的,374,0.00022946868795448912
电,话,372,0.00022824158267131003
形,式,371,0.0002276280300297205
的,工,371,0.0002276280300297205
体,制,371,0.0002276280300297205
大,学,370,0.00022701447738813094
一,定,369,0.00022640092474654141
会,的,368,0.00022578737210495186
行,了,367,0.00022517381946336233
保,持,366,0.00022456026682177277
的,国,366,0.00022456026682177277
国,政,363,0.00022271960889700415
二,十,363,0.00022271960889700415
行,政,361,0.00022149250361382507
劳,动,361,0.00022149250361382507
民,的,361,0.00022149250361382507
民,主,360,0.0002208789509722355
过,去,359,0.00022026539833064598
这,里,358,0.00021965184568905642
政,协,358,0.00021965184568905642
而,且,357,0.0002190382930474669
能,力,356,0.00021842474040587734
利,用,356,0.00021842474040587734
他,说,355,0.0002178111877642878
两,岸,354,0.00021719763512269825
也,是,354,0.00021719763512269825
２,５,353,0.00021658408248110872
２,月,352,0.00021597052983951916
外,交,352,0.00021597052983951916
达,到,352,0.00021597052983951916
的,生,351,0.00021535697719792963
系,统,351,0.00021535697719792963
会,上,350,0.00021474342455634008
目,标,349,0.00021412987191475055
完,成,349,0.00021412987191475055
发,现,349,0.00021412987191475055
保,护,348,0.000213516319273161
专,家,348,0.000213516319273161
竞,争,346,0.0002122892139899819
严,重,346,0.0002122892139899819
成,功,345,0.00021167566134839237
正,在,345,0.00021167566134839237
两,个,344,0.00021106210870680282
委,会,343,0.00021044855606521329
孩,子,342,0.00020983500342362373
应,当,342,0.00020983500342362373
地,震,342,0.00020983500342362373
革,命,340,0.00020860789814044464
经,过,340,0.00020860789814044464
的,时,339,0.0002079943454988551
现,了,339,0.0002079943454988551
责,任,339,0.0002079943454988551
各,级,338,0.00020738079285726556
祖,国,336,0.00020615368757408647
发,挥,336,0.00020615368757408647
主,任,334,0.00020492658229090738
一,位,334,0.00020492658229090738
重,视,333,0.00020431302964931785
资,源,333,0.00020431302964931785
１,６,332,0.00020369947700772832
青,年,332,0.00020369947700772832
重,大,331,0.00020308592436613877
各,种,330,0.00020247237172454924
部,队,329,0.00020185881908295968
１,８,329,0.00020185881908295968
危,机,328,0.00020124526644137015
效,益,327,0.0002006317137997806
化,的,326,0.00020001816115819106
的,关,325,0.0001994046085166015
创,造,325,0.0001994046085166015
帮,助,325,0.0001994046085166015
新,年,324,0.00019879105587501198
只,有,324,0.00019879105587501198
中,共,323,0.00019817750323342242
面,的,323,0.00019817750323342242
行,业,323,0.00019817750323342242
台,湾,321,0.00019695039795024333
合,国,321,0.00019695039795024333
０,．,321,0.00019695039795024333
年,代,321,0.00019695039795024333
方,式,320,0.0001963368453086538
资,产,320,0.0001963368453086538
十,分,319,0.00019572329266706424
推,动,319,0.00019572329266706424
的,同,319,0.00019572329266706424
５,日,319,0.00019572329266706424
受,到,319,0.00019572329266706424
是,我,318,0.00019510974002547472
各,地,318,0.00019510974002547472
因,为,318,0.00019510974002547472
的,成,317,0.00019449618738388516
落,实,317,0.00019449618738388516
的,１,317,0.00019449618738388516
９,５,317,0.00019449618738388516
亿,美,317,0.00019449618738388516
如,果,317,0.00019449618738388516
都,是,316,0.00019388263474229563
推,进,315,0.00019326908210070607
看,到,315,0.00019326908210070607
２,日,315,0.00019326908210070607
济,的,314,0.00019265552945911654
的,情,314,0.00019265552945911654
深,入,314,0.00019265552945911654
罗,斯,313,0.00019204197681752698
认,识,313,0.00019204197681752698
中,华,313,0.00019204197681752698
宣,传,312,0.00019142842417593745
３,日,311,0.0001908148715343479
介,绍,310,0.00019020131889275837
包,括,309,0.0001895877662511688
演,出,308,0.00018897421360957928
行,为,308,0.00018897421360957928
消,费,308,0.00018897421360957928
素,质,307,0.00018836066096798972
灾,区,306,0.0001877471083264002
利,益,305,0.00018713355568481064
９,０,305,0.00018713355568481064
第,三,305,0.00018713355568481064
还,有,304,0.0001865200030432211
因,此,303,0.00018590645040163155
了,解,302,0.00018529289776004202
１,．,302,0.00018529289776004202
交,通,302,0.00018529289776004202
发,表,301,0.00018467934511845246
别,是,301,0.00018467934511845246
机,制,301,0.00018467934511845246
就,业,299,0.00018345223983527338
调,查,299,0.00018345223983527338
作,品,298,0.00018283868719368385
长,期,298,0.00018283868719368385
８,日,298,0.00018283868719368385
所,有,298,0.00018283868719368385
对,于,297,0.0001822251345520943
９,日,297,0.0001822251345520943
的,地,297,0.0001822251345520943
贸,易,297,0.0001822251345520943
成,果,296,0.00018161158191050476
实,践,296,0.00018161158191050476
关,于,296,0.00018161158191050476
会,见,296,0.00018161158191050476
家,庭,295,0.0001809980292689152
不,可,294,0.00018038447662732567
下,岗,294,0.00018038447662732567
附,图,293,0.00017977092398573612
之,间,293,0.00017977092398573612
报,记,293,0.00017977092398573612
的,实,292,0.0001791573713441466
公,安,292,0.0001791573713441466
财,政,291,0.00017854381870255703
成,立,291,0.00017854381870255703
最,大,290,0.0001779302660609675
４,日,290,0.0001779302660609675
代,化,289,0.00017731671341937794
济,发,289,0.00017731671341937794
俄,罗,288,0.0001767031607777884
阶,段,288,0.0001767031607777884
２,２,288,0.0001767031607777884
社,北,287,0.00017608960813619886
