w1,w2,f,pmi
恐怖,事件,9,7.526871528226603
良好,态势,10,7.510626198036724
热烈,气氛,9,7.504426381701794
老,将军,8,7.470795603820514
可喜,成绩,5,7.467776780704186
正确,价值观,6,7.391044582284052
最高,奖,7,7.387671637102173
杰出,青年,6,7.3819231923155035
民主,权利,6,7.371353950605316
先进,事迹,15,7.307498351188949
明显,成效,16,7.305107595264673
不同,阶层,5,7.3037611695571565
良好,势头,19,7.293034762964098
贫困,人口,60,7.28461693131749
悠久,历史,11,7.278150525878119
高,精度,6,7.248834959053562
旧,卢布,5,7.236862317387486
真实,故事,5,7.233371841665758
平均,气温,13,7.232031596442721
著名,画家,5,7.203737502613503
普通,老百姓,5,7.1879527169065405
普通,医生,5,7.1879527169065405
贫困,大学生,10,7.172142202059078
强,队,14,7.147227935482953
杰出,贡献,5,7.140262437274277
景气,水平,5,7.13412330017687
不同,角度,13,7.121557838336407
显著,成绩,15,7.10932280979171
优秀,企业家,8,7.10587700521152
祥和,节日,5,7.086298936840622
良好,风气,8,7.060374006173823
最低,标准,10,7.055697666132709
小,女孩,5,7.02395727432752
基本,生活费,5,7.019353112930795
关键,时刻,10,7.016615298986352
短,时间,15,7.006737702245003
光荣,传统,14,7.0035281457691125
优美,环境,8,6.994810928668004
好,收成,18,6.988307408830344
白,门,7,6.984419322821408
贫困,山区,24,6.975744989255574
宝贵,经验,6,6.974530449074645
基本,原理,7,6.948386591576652
有力,措施,23,6.946944617402745
正常,秩序,6,6.9387010225155725
严重,后果,6,6.9174031821002275
低,态势,6,6.890474268853268
完整,体系,8,6.887344886786777
先进,典型,34,6.886034582750672
正确,舆论,9,6.880849849964868
方便,食品,6,6.877997263685254
高,起点,11,6.875376563526118
畅,价格,5,6.857939611344
硬,方针,5,6.848799623113965
悠久,传统,5,6.840029413486233
艰巨,任务,11,6.838468899498617
不同,程度,31,6.8316927252419335
小,网,10,6.831312196385125
独特,价值,6,6.822955900127292
显著,成就,7,6.7678143459348306
满,楼,5,6.765779036346068
幸福,工程,27,6.759180916414604
优秀,作品,34,6.746334618524379
良好,效果,12,6.740493739935319
公平,原则,6,6.72984649573581
正确,方向,11,6.702577505809036
重要,议事日程,7,6.671889925936296
浓郁,民族,5,6.661111318655349
繁重,任务,5,6.644381847382314
贫困,母亲,18,6.627821685835268
和平,条约,6,6.624344094145769
先进,行列,5,6.623000176916879
优秀,剧目,6,6.611405038438271
根本,利益,30,6.59221147320496
友好,关系,87,6.57042357736448
良好,氛围,5,6.510626198036724
著名,作家,5,6.500719240370635
文明,小区,5,6.490144593732641
新,增长点,41,6.4541895547786785
好,攻坚战,14,6.448859567361556
不良,现象,5,6.438640085210997
关键,环节,7,6.4341380616547905
基本,国情,9,6.431250904679072
绝对,优势,5,6.41332899668181
良好,环境,45,6.409848427946847
不同,身份,5,6.377761751000933
不良,贷款,5,6.3700757987279255
先进,个人,33,6.369713747634647
